price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
945,apartment,600,1,1,0,0,0,0,0,0,laundry on site,off-street parking,co
598,apartment,526,1,1,1,1,0,0,0,0,laundry in bldg,off-street parking,mo
1313,apartment,771,1,1,1,1,0,1,0,0,w/d in unit,detached garage,co
1265,apartment,1343,3,2,1,1,1,0,0,0,w/d hookups,off-street parking,nc
2760,apartment,965,2,2,1,1,0,0,0,0,laundry on site,attached garage,ca
921,apartment,1176,3,2,1,1,0,0,0,0,w/d in unit,carport,wy
1208,apartment,1150,2,2,1,1,1,0,0,0,w/d in unit,carport,mi
1595,apartment,1243,3,2,1,1,1,0,0,0,w/d in unit,detached garage,fl
1125,apartment,682,1,1,1,1,1,0,0,0,laundry on site,carport,ca
2148,apartment,810,1,1,1,0,1,0,0,0,w/d in unit,detached garage,ca
590,apartment,745,1,1,1,1,0,1,0,0,laundry on site,off-street parking,ok
915,apartment,781,2,1.5,1,1,0,0,0,0,laundry on site,off-street parking,mn
850,apartment,600,1,1,0,0,1,0,0,0,no laundry on site,off-street parking,ny
1495,apartment,980,2,2,1,1,1,0,0,0,w/d in unit,carport,wa
795,apartment,650,1,1,0,1,0,0,0,0,laundry in bldg,off-street parking,id
899,apartment,560,1,1,1,0,1,0,0,0,laundry on site,off-street parking,pa
1125,apartment,800,1,1,0,0,1,0,0,0,laundry in bldg,off-street parking,ma
1345,apartment,1127,2,2,1,0,1,0,0,0,w/d in unit,off-street parking,ia
750,apartment,917,2,2,1,1,1,0,0,0,w/d hookups,street parking,oh
1115,apartment,835,1,1,1,1,0,0,0,0,w/d in unit,attached garage,wi
1000,apartment,1252,3,2,1,1,1,1,0,1,w/d in unit,attached garage,hi
845,apartment,558,1,1,1,1,0,0,0,0,laundry on site,off-street parking,ia
3000,apartment,2000,2,2,0,1,1,0,0,0,w/d in unit,attached garage,il
1310,apartment,1230,3,2,1,1,1,0,0,0,w/d in unit,attached garage,wi
1195,apartment,887,1,1,1,1,0,0,0,0,w/d in unit,off-street parking,sc
1275,apartment,1200,2,1,1,1,1,0,0,0,laundry in bldg,off-street parking,ny
1025,apartment,752,1,1,1,1,1,0,0,0,w/d hookups,off-street parking,ga
790,apartment,933,2,1,1,1,0,0,0,0,laundry in bldg,off-street parking,ne
995,apartment,900,2,1,0,0,0,0,0,0,laundry in bldg,off-street parking,nh
999,apartment,1250,2,2,1,1,1,0,0,0,w/d hookups,off-street parking,la
1230,apartment,740,2,1,1,1,1,0,0,0,laundry on site,off-street parking,ri
900,apartment,564,1,1,1,1,1,0,0,0,laundry in bldg,attached garage,co
2085,apartment,1025,2,2,1,1,1,0,0,0,w/d in unit,detached garage,nj
1250,apartment,980,2,1.5,1,0,0,0,0,0,w/d in unit,carport,wa
3175,apartment,1195,2,2,1,1,0,1,0,0,w/d in unit,attached garage,ny
1440,apartment,1050,2,2,1,1,1,0,0,0,w/d in unit,carport,co
1750,apartment,1500,4,2,1,1,1,0,0,0,laundry in bldg,off-street parking,wi
895,apartment,800,2,1,1,1,0,0,0,0,laundry in bldg,off-street parking,wi
659,apartment,600,1,1,1,1,1,0,0,0,w/d hookups,street parking,in
895,apartment,1040,2,2,0,0,1,0,0,0,w/d hookups,carport,id
1345,apartment,804,1,1,1,1,0,0,0,0,w/d hookups,attached garage,tx
2659,apartment,1309,2,2,1,1,1,0,0,0,w/d in unit,attached garage,tx
1375,apartment,900,2,1,1,1,1,0,0,0,laundry on site,off-street parking,tx
675,apartment,700,2,1,0,0,0,0,0,0,laundry in bldg,carport,oh
1565,apartment,745,1,1,1,1,1,0,0,0,w/d in unit,carport,wa
1240,apartment,1065,2,2,1,1,1,0,0,0,w/d hookups,detached garage,tx
1025,apartment,750,1,1,1,1,1,0,0,0,w/d in unit,off-street parking,mi
615,apartment,689,1,1,0,0,1,0,0,0,laundry on site,off-street parking,ok
369,apartment,1635,4,4,1,1,0,0,0,0,w/d in unit,off-street parking,ky
1543,apartment,1227,2,2,1,1,1,0,0,0,w/d in unit,carport,oh
999,apartment,1109,2,2,1,1,1,0,0,0,w/d in unit,off-street parking,ny
1094,apartment,1089,2,2,1,1,1,0,0,0,laundry in bldg,carport,mi
1600,apartment,1600,4,2,1,1,1,0,0,0,w/d in unit,off-street parking,mi
919,apartment,740,1,1.5,1,1,1,0,0,0,w/d in unit,detached garage,tx
800,apartment,865,2,1,0,0,0,0,0,0,w/d in unit,off-street parking,fl
1375,apartment,885,2,1,1,1,1,0,0,0,laundry in bldg,carport,ca
1400,apartment,1240,3,2,1,1,0,0,0,0,w/d in unit,off-street parking,mt
2085,apartment,2085,0,1,1,1,0,0,0,0,laundry in bldg,street parking,ny
1030,apartment,1018,2,1,1,1,1,0,0,0,w/d hookups,off-street parking,ms
1495,apartment,1295,2,3,1,1,0,0,0,0,w/d in unit,off-street parking,al
550,apartment,850,2,1,0,0,0,0,0,0,w/d hookups,off-street parking,ks
1150,apartment,1200,2,1.5,0,0,0,0,0,0,w/d hookups,attached garage,ca
950,apartment,800,1,1,0,0,0,0,0,0,laundry on site,carport,or
600,apartment,633,2,2,1,1,0,0,1,1,w/d in unit,attached garage,ct
1295,apartment,850,2,1,0,0,0,0,0,0,w/d hookups,off-street parking,nh
995,apartment,925,1,1,1,1,1,0,0,0,w/d hookups,street parking,ga
2375,apartment,1275,3,2,1,1,1,0,0,0,w/d in unit,attached garage,fl
1003,apartment,711,1,1,1,1,1,0,0,0,w/d in unit,off-street parking,tx
1372,apartment,882,1,1,0,0,1,0,0,0,w/d in unit,off-street parking,ma
845,apartment,900,3,1.5,0,0,1,0,0,0,laundry on site,off-street parking,va
1200,apartment,1008,3,1,1,1,0,0,0,0,laundry on site,off-street parking,mn
1005,apartment,759,1,1,0,0,0,0,0,0,w/d in unit,detached garage,ia
1000,apartment,750,2,1,0,0,0,0,1,1,laundry on site,street parking,pa
1195,apartment,985,2,1,1,0,0,0,0,0,laundry in bldg,off-street parking,mn
1940,apartment,1168,3,2,1,0,1,0,0,0,w/d in unit,detached garage,ca
1169,apartment,1200,3,2,1,1,1,0,0,0,w/d hookups,off-street parking,tn
940,apartment,655,1,1,1,1,0,0,0,0,laundry in bldg,off-street parking,mn
1540,apartment,640,1,1,0,0,0,0,0,0,laundry on site,carport,ca
3295,apartment,1050,2,2,1,1,1,0,0,0,w/d in unit,carport,ca
1050,apartment,950,2,1,0,0,0,0,0,0,laundry on site,off-street parking,or
995,apartment,1083,3,2,1,1,1,0,0,0,w/d hookups,attached garage,ar
1000,apartment,1300,2,1,0,0,0,0,0,0,laundry on site,off-street parking,pa
649,apartment,967,2,1,1,1,1,0,0,1,laundry on site,off-street parking,tn
695,apartment,1065,2,1,0,0,0,0,0,0,w/d in unit,detached garage,wi
1613,apartment,1110,3,2,1,1,0,0,0,0,w/d in unit,no parking,wa
1003,apartment,850,2,1,1,1,0,0,0,0,w/d in unit,carport,ut
1815,apartment,738,2,1,1,1,0,0,0,0,laundry on site,street parking,ca
1429,apartment,1250,3,2,1,1,1,0,0,0,w/d in unit,no parking,fl
1145,apartment,1308,2,2,1,1,1,0,0,0,w/d hookups,attached garage,tx
1425,apartment,980,1,1,1,1,1,0,0,0,w/d in unit,off-street parking,ny
